"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0053335"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Pantoea"	"NA"	"kai__0053335"
"kai__0001707"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Cellulomonadaceae"	"Cellulomonas"	"NA"	"kai__0001707"
"kai__1649459"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Hungatella"	"NA"	"kai__1649459"
"kai__1905344"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Ruthenibacterium"	"NA"	"kai__1905344"
"kai__1432051"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Eisenbergiella"	"NA"	"kai__1432051"
"kai__1981033"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Mordavella"	"NA"	"kai__1981033"
"kai__0000262"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Francisellaceae"	"Francisella"	"NA"	"kai__0000262"
"kai__0000407"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Methylobacteriaceae"	"Methylobacterium"	"NA"	"kai__0000407"
"kai__0248744"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Lachnospiraceae"	"Marvinbryantia"	"NA"	"kai__0248744"
"kai__1924105"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Neglecta"	"NA"	"kai__1924105"
"kai__0000191"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Azospirillum"	"NA"	"kai__0000191"
"kai__0000434"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Acetobacteraceae"	"Acetobacter"	"NA"	"kai__0000434"
"kai__0001743"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Propionibacterium"	"NA"	"kai__0001743"
"kai__0049082"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Candidatus Arthromitus"	"NA"	"kai__0049082"
"kai__0000590"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Salmonella"	"NA"	"kai__0000590"
"kai__0172900"	"Lentisphaerae"	"Lentisphaeria"	"Victivallales"	"Victivallaceae"	"Victivallis"	"NA"	"kai__0172900"
"kai__1080709"	"Euryarchaeota"	"Thermoplasmata"	"Methanomassiliicoccales"	"Methanomassiliicoccaceae"	"Methanomassiliicoccus"	"NA"	"kai__1080709"
"kai__1935176"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Ruminococcaceae"	"Angelakisella"	"NA"	"kai__1935176"
"kai__0002086"	"Tenericutes"	"Mollicutes"	"Anaeroplasmatales"	"Anaeroplasmataceae"	"Anaeroplasma"	"NA"	"kai__0002086"
"kai__1392389"	"Firmicutes"	"Clostridia"	"Clostridiales"	"NA"	"Intestinimonas"	"NA"	"kai__1392389"
