"p"	"c"	"o"	"f"	"g"	"s"	"ID"
"kai__0059738"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinilabiliaceae"	"Marinilabilia"	"NA"	"kai__0059738"
"kai__0078119"	"Firmicutes"	"Negativicutes"	"Acidaminococcales"	"Acidaminococcaceae"	"Succinispira"	"NA"	"kai__0078119"
"kai__0165695"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingobium"	"NA"	"kai__0165695"
"kai__0516086"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Clostridiisalibacter"	"NA"	"kai__0516086"
"kai__1884449"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salipaludibacillus"	"NA"	"kai__1884449"
"kai__0000226"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Alteromonadaceae"	"Alteromonas"	"NA"	"kai__0000226"
"kai__0000846"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Oxalobacter"	"NA"	"kai__0000846"
"kai__0042837"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Ammonifex"	"NA"	"kai__0042837"
"kai__0191769"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Marinilactibacillus"	"NA"	"kai__0191769"
"kai__0001218"	"Cyanobacteria"	"NA"	"Synechococcales"	"Prochloraceae"	"Prochlorococcus"	"NA"	"kai__0001218"
"kai__0033926"	"Tenericutes"	"Mollicutes"	"Acholeplasmatales"	"Acholeplasmataceae"	"Candidatus Phytoplasma"	"NA"	"kai__0033926"
"kai__0054293"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Syntrophomonadaceae"	"Thermosyntropha"	"NA"	"kai__0054293"
"kai__0069578"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Cryobacterium"	"NA"	"kai__0069578"
"kai__0083681"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Streptosporangiaceae"	"Nonomuraea"	"NA"	"kai__0083681"
"kai__0089966"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Hymenobacteraceae"	"Hymenobacter"	"NA"	"kai__0089966"
"kai__0150333"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Thermobrachium"	"NA"	"kai__0150333"
"kai__0418453"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Desulfovirgula"	"NA"	"kai__0418453"
"kai__0510701"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfurispora"	"NA"	"kai__0510701"
"kai__1653174"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinotignum"	"NA"	"kai__1653174"
"kai__0291988"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Thermosediminibacter"	"NA"	"kai__0291988"
"kai__1331051"	"Candidatus Saccharibacteria"	"NA"	"NA"	"NA"	"Candidatus Saccharimonas"	"NA"	"kai__1331051"
"kai__2035811"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfovibrionaceae"	"Pseudodesulfovibrio"	"NA"	"kai__2035811"
"kai__2282743"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfohalotomaculum"	"NA"	"kai__2282743"
"kai__0171412"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Aerococcaceae"	"Eremococcus"	"NA"	"kai__0171412"
"kai__0375928"	"Firmicutes"	"Clostridia"	"Natranaerobiales"	"Natranaerobiaceae"	"Natranaerobius"	"NA"	"kai__0375928"
"kai__0416916"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Aggregatibacter"	"NA"	"kai__0416916"
"kai__1935206"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Rubeoparvulum"	"NA"	"kai__1935206"
"kai__2035349"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Oceanispirochaeta"	"NA"	"kai__2035349"
"kai__2507545"	"Candidatus Margulisbacteria"	"Candidatus Termititenacia"	"Candidatus Termititenacales"	"Candidatus Termititenacaceae"	"Candidatus Termititenax"	"NA"	"kai__2507545"
"kai__0057665"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Campylobacteraceae"	"Sulfurospirillum"	"NA"	"kai__0057665"
"kai__0206664"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfohalobiaceae"	"Desulfonauticus"	"NA"	"kai__0206664"
"kai__1940406"	"NA"	"NA"	"NA"	"NA"	"Candidatus Moduliflexus"	"NA"	"kai__1940406"
"kai__0000475"	"Proteobacteria"	"Gammaproteobacteria"	"Pseudomonadales"	"Moraxellaceae"	"Moraxella"	"NA"	"kai__0000475"
"kai__0697279"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Enterococcaceae"	"Bavariicoccus"	"NA"	"kai__0697279"
"kai__1502725"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"Effusibacillus"	"NA"	"kai__1502725"
"kai__0000270"	"Deinococcus-Thermus"	"Deinococci"	"Thermales"	"Thermaceae"	"Thermus"	"NA"	"kai__0000270"
"kai__0001865"	"Actinobacteria"	"Actinobacteria"	"Micromonosporales"	"Micromonosporaceae"	"Actinoplanes"	"NA"	"kai__0001865"
"kai__0028261"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Thermodesulfovibrio"	"NA"	"kai__0028261"
"kai__0173479"	"Gemmatimonadetes"	"Gemmatimonadetes"	"Gemmatimonadales"	"Gemmatimonadaceae"	"Gemmatimonas"	"NA"	"kai__0173479"
"kai__1129704"	"Firmicutes"	"Bacilli"	"Bacillales"	"Alicyclobacillaceae"	"Kyrpidia"	"NA"	"kai__1129704"
"kai__1221880"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Psychrobacillus"	"NA"	"kai__1221880"
"kai__1973272"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Clostridiaceae"	"Khelaifiella"	"NA"	"kai__1973272"
"kai__0000265"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodobacterales"	"Rhodobacteraceae"	"Paracoccus"	"NA"	"kai__0000265"
"kai__0001813"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Amycolatopsis"	"NA"	"kai__0001813"
"kai__0043988"	"Cyanobacteria"	"NA"	"Oscillatoriales"	"Cyanothecaceae"	"Cyanothece"	"NA"	"kai__0043988"
"kai__0066848"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfonatronaceae"	"Desulfonatronum"	"NA"	"kai__0066848"
"kai__0165697"	"Proteobacteria"	"Alphaproteobacteria"	"Sphingomonadales"	"Sphingomonadaceae"	"Sphingopyxis"	"NA"	"kai__0165697"
"kai__0379899"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Niabella"	"NA"	"kai__0379899"
"kai__1912215"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Acidipropionibacterium"	"NA"	"kai__1912215"
"kai__1930830"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Streptococcaceae"	"Floricoccus"	"NA"	"kai__1930830"
"kai__0000544"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Enterobacteriaceae"	"Citrobacter"	"NA"	"kai__0000544"
"kai__0002422"	"Thermotogae"	"Thermotogae"	"Thermotogales"	"Fervidobacteriaceae"	"Fervidobacterium"	"NA"	"kai__0002422"
"kai__0070994"	"Bacteroidetes"	"Saprospiria"	"Saprospirales"	"Lewinellaceae"	"Lewinella"	"NA"	"kai__0070994"
"kai__0076833"	"Actinobacteria"	"Actinobacteria"	"Actinomycetales"	"Actinomycetaceae"	"Actinobaculum"	"NA"	"kai__0076833"
"kai__0110932"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Leifsonia"	"NA"	"kai__0110932"
"kai__0111500"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Muricauda"	"NA"	"kai__0111500"
"kai__0255204"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Pseudoclavibacter"	"NA"	"kai__0255204"
"kai__0670486"	"Chloroflexi"	"Dehalococcoidia"	"NA"	"NA"	"Dehalogenimonas"	"NA"	"kai__0670486"
"kai__0862071"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacterales Family III. Incertae Sedis"	"Syntrophaceticus"	"NA"	"kai__0862071"
"kai__1494427"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Tepidibacillus"	"NA"	"kai__1494427"
"kai__1573808"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Prolixibacteraceae"	"Mangrovibacterium"	"NA"	"kai__1573808"
"kai__0002222"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosaetaceae"	"Methanothrix"	"NA"	"kai__0002222"
"kai__0447020"	"Actinobacteria"	"Coriobacteriia"	"Eggerthellales"	"Eggerthellaceae"	"Adlercreutzia"	"NA"	"kai__0447020"
"kai__0000068"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Lysobacter"	"NA"	"kai__0000068"
"kai__0000896"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfobacterales"	"Desulfobacteraceae"	"Desulfococcus"	"NA"	"kai__0000896"
"kai__0064159"	"Aquificae"	"Aquificae"	"Desulfurobacteriales"	"Desulfurobacteriaceae"	"Desulfurobacterium"	"NA"	"kai__0064159"
"kai__0142587"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Isobaculum"	"NA"	"kai__0142587"
"kai__0265570"	"Proteobacteria"	"Epsilonproteobacteria"	"NA"	"NA"	"Sulfurovum"	"NA"	"kai__0265570"
"kai__0000745"	"Proteobacteria"	"Gammaproteobacteria"	"Pasteurellales"	"Pasteurellaceae"	"Pasteurella"	"NA"	"kai__0000745"
"kai__0000978"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cytophagaceae"	"Cytophaga"	"NA"	"kai__0000978"
"kai__0001186"	"Cyanobacteria"	"NA"	"Nostocales"	"Rivulariaceae"	"Calothrix"	"NA"	"kai__0001186"
"kai__0048073"	"Proteobacteria"	"Gammaproteobacteria"	"Cellvibrionales"	"Microbulbiferaceae"	"Microbulbifer"	"NA"	"kai__0048073"
"kai__0104267"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Tenacibaculum"	"NA"	"kai__0104267"
"kai__1236988"	"Bacteroidetes"	"Bacteroidia"	"Marinilabiliales"	"Marinilabiliaceae"	"Geofilum"	"NA"	"kai__1236988"
"kai__1866885"	"Actinobacteria"	"Actinobacteria"	"Corynebacteriales"	"Mycobacteriaceae"	"Mycolicibacterium"	"NA"	"kai__1866885"
"kai__2498709"	"Candidatus Cryosericota"	"Candidatus Cryosericia"	"Candidatus Cryosericales"	"Candidatus Cryosericaceae"	"Candidatus Cryosericum"	"NA"	"kai__2498709"
"kai__0000535"	"Proteobacteria"	"Betaproteobacteria"	"Neisseriales"	"Chromobacteriaceae"	"Chromobacterium"	"NA"	"kai__0000535"
"kai__0029393"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Dolosigranulum"	"NA"	"kai__0029393"
"kai__0032205"	"Spirochaetes"	"Spirochaetia"	"Leptospirales"	"Leptospiraceae"	"Leptonema"	"NA"	"kai__0032205"
"kai__0202746"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Sulfurimonas"	"NA"	"kai__0202746"
"kai__0623282"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Psychrilyobacter"	"NA"	"kai__0623282"
"kai__1326739"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Calderihabitans"	"NA"	"kai__1326739"
"kai__1634037"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfovibrionales"	"Desulfomicrobiaceae"	"Desulfoplanes"	"NA"	"kai__1634037"
"kai__1648511"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Cnuella"	"NA"	"kai__1648511"
"kai__0000179"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Leptospirillum"	"NA"	"kai__0000179"
"kai__0000963"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Herbaspirillum"	"NA"	"kai__0000963"
"kai__0001152"	"Cyanobacteria"	"NA"	"Synechococcales"	"Pseudanabaenaceae"	"Pseudanabaena"	"NA"	"kai__0001152"
"kai__0035823"	"Cyanobacteria"	"NA"	"Oscillatoriales"	"Microcoleaceae"	"Arthrospira"	"NA"	"kai__0035823"
"kai__0040222"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Piscirickettsiaceae"	"Methylophaga"	"NA"	"kai__0040222"
"kai__0060919"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Sanguibacteraceae"	"Sanguibacter"	"NA"	"kai__0060919"
"kai__0136491"	"Firmicutes"	"Bacilli"	"Lactobacillales"	"Carnobacteriaceae"	"Atopobacter"	"NA"	"kai__0136491"
"kai__0155977"	"Cyanobacteria"	"NA"	"Synechococcales"	"Acaryochloridaceae"	"Acaryochloris"	"NA"	"kai__0155977"
"kai__0182899"	"Aquificae"	"Aquificae"	"Aquificales"	"Hydrogenothermaceae"	"Persephonella"	"NA"	"kai__0182899"
"kai__0354354"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Niastella"	"NA"	"kai__0354354"
"kai__0000081"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Hyphomicrobiaceae"	"Hyphomicrobium"	"NA"	"kai__0000081"
"kai__0000958"	"Proteobacteria"	"Oligoflexia"	"Bdellovibrionales"	"Bdellovibrionaceae"	"Bdellovibrio"	"NA"	"kai__0000958"
"kai__0042255"	"Actinobacteria"	"Rubrobacteria"	"Rubrobacterales"	"Rubrobacteraceae"	"Rubrobacter"	"NA"	"kai__0042255"
"kai__0053246"	"Proteobacteria"	"Gammaproteobacteria"	"Alteromonadales"	"Pseudoalteromonadaceae"	"Pseudoalteromonas"	"NA"	"kai__0053246"
"kai__0327159"	"Proteobacteria"	"Betaproteobacteria"	"NA"	"NA"	"Candidatus Accumulibacter"	"NA"	"kai__0327159"
"kai__0414371"	"Proteobacteria"	"Alphaproteobacteria"	"Rhizobiales"	"Aurantimonadaceae"	"Aureimonas"	"NA"	"kai__0414371"
"kai__0484508"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Ornithinibacillus"	"NA"	"kai__0484508"
"kai__1612157"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Pararhodospirillum"	"NA"	"kai__1612157"
"kai__1911565"	"Spirochaetes"	"Spirochaetia"	"Spirochaetales"	"Spirochaetaceae"	"Marispirochaeta"	"NA"	"kai__1911565"
"kai__0000075"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Caulobacter"	"NA"	"kai__0000075"
"kai__0029526"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophobacteraceae"	"Syntrophobacter"	"NA"	"kai__0029526"
"kai__0045247"	"Proteobacteria"	"Gammaproteobacteria"	"Thiotrichales"	"Thiotrichaceae"	"Leucothrix"	"NA"	"kai__0045247"
"kai__0047251"	"Cyanobacteria"	"NA"	"Synechococcales"	"Leptolyngbyaceae"	"Leptolyngbya"	"NA"	"kai__0047251"
"kai__0052959"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Polaribacter"	"NA"	"kai__0052959"
"kai__0068335"	"Coprothermobacterota"	"Coprothermobacteria"	"Coprothermobacterales"	"Coprothermobacteraceae"	"Coprothermobacter"	"NA"	"kai__0068335"
"kai__0204037"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pectobacteriaceae"	"Dickeya"	"NA"	"kai__0204037"
"kai__0308865"	"Bacteroidetes"	"Flavobacteriia"	"Flavobacteriales"	"Flavobacteriaceae"	"Elizabethkingia"	"NA"	"kai__0308865"
"kai__0442430"	"Verrucomicrobia"	"Opitutae"	"Puniceicoccales"	"Puniceicoccaceae"	"Coraliomargarita"	"NA"	"kai__0442430"
"kai__0467084"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"NA"	"Candidatus Symbiothrix"	"NA"	"kai__0467084"
"kai__0475965"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Levilinea"	"NA"	"kai__0475965"
"kai__1860139"	"Fibrobacteres"	"Chitinispirillia"	"Chitinispirillales"	"Chitinispirillaceae"	"Chitinispirillum"	"NA"	"kai__1860139"
"kai__1912217"	"Actinobacteria"	"Actinobacteria"	"Propionibacteriales"	"Propionibacteriaceae"	"Pseudopropionibacterium"	"NA"	"kai__1912217"
"kai__0000843"	"Proteobacteria"	"Epsilonproteobacteria"	"Campylobacterales"	"Helicobacteraceae"	"Wolinella"	"NA"	"kai__0000843"
"kai__0150059"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Halonatronum"	"NA"	"kai__0150059"
"kai__0351195"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Salimicrobium"	"NA"	"kai__0351195"
"kai__0416949"	"Bacteroidetes"	"Sphingobacteriia"	"Sphingobacteriales"	"Sphingobacteriaceae"	"Parapedobacter"	"NA"	"kai__0416949"
"kai__1155934"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Marininema"	"NA"	"kai__1155934"
"kai__1335745"	"Proteobacteria"	"Gammaproteobacteria"	"Chromatiales"	"Ectothiorhodospiraceae"	"Spiribacter"	"NA"	"kai__1335745"
"kai__1649478"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Pelolinea"	"NA"	"kai__1649478"
"kai__1905726"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Paludifilum"	"NA"	"kai__1905726"
"kai__2483368"	"Planctomycetes"	"Phycisphaerae"	"Sedimentisphaerales"	"Sedimentisphaeraceae"	"Sedimentisphaera"	"NA"	"kai__2483368"
"kai__0001740"	"Thermodesulfobacteria"	"Thermodesulfobacteria"	"Thermodesulfobacteriales"	"Thermodesulfobacteriaceae"	"Thermodesulfobacterium"	"NA"	"kai__0001740"
"kai__0076890"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Asticcacaulis"	"NA"	"kai__0076890"
"kai__0160798"	"Thermotogae"	"Thermotogae"	"Petrotogales"	"Petrotogaceae"	"Marinitoga"	"NA"	"kai__0160798"
"kai__0202949"	"Firmicutes"	"Clostridia"	"Thermoanaerobacterales"	"Thermoanaerobacteraceae"	"Thermanaeromonas"	"NA"	"kai__0202949"
"kai__0294702"	"Bacteroidetes"	"Bacteroidia"	"Bacteroidales"	"Dysgonamonadaceae"	"Proteiniphilum"	"NA"	"kai__0294702"
"kai__0551771"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Vulcanibacillus"	"NA"	"kai__0551771"
"kai__0665874"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Limnohabitans"	"NA"	"kai__0665874"
"kai__1522429"	"Firmicutes"	"Bacilli"	"Bacillales"	"Thermoactinomycetaceae"	"Lihuaxuella"	"NA"	"kai__1522429"
"kai__0001177"	"Cyanobacteria"	"NA"	"Nostocales"	"Nostocaceae"	"Nostoc"	"NA"	"kai__0001177"
"kai__0002735"	"Verrucomicrobia"	"Verrucomicrobiae"	"Verrucomicrobiales"	"Verrucomicrobiaceae"	"Verrucomicrobium"	"NA"	"kai__0002735"
"kai__0043773"	"Proteobacteria"	"Deltaproteobacteria"	"Syntrophobacterales"	"Syntrophaceae"	"Syntrophus"	"NA"	"kai__0043773"
"kai__0083618"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Xanthomonadaceae"	"Pseudoxanthomonas"	"NA"	"kai__0083618"
"kai__0084404"	"Proteobacteria"	"Deltaproteobacteria"	"Desulfurellales"	"Desulfurellaceae"	"Hippea"	"NA"	"kai__0084404"
"kai__0428711"	"Synergistetes"	"Synergistia"	"Synergistales"	"Synergistaceae"	"Jonquetella"	"NA"	"kai__0428711"
"kai__0000283"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Comamonas"	"NA"	"kai__0000283"
"kai__0000586"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Morganellaceae"	"Providencia"	"NA"	"kai__0000586"
"kai__0002204"	"Euryarchaeota"	"Methanomicrobia"	"Methanomicrobiales"	"Methanomicrobiaceae"	"Methanomicrobium"	"NA"	"kai__0002204"
"kai__0112008"	"Proteobacteria"	"Gammaproteobacteria"	"NA"	"NA"	"Ignatzschineria"	"NA"	"kai__0112008"
"kai__0367298"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Intrasporangiaceae"	"Phycicoccus"	"NA"	"kai__0367298"
"kai__1291539"	"Euryarchaeota"	"Thermoplasmata"	"Methanomassiliicoccales"	"Methanomassiliicoccaceae"	"Candidatus Methanomethylophilus"	"NA"	"kai__1291539"
"kai__1408194"	"Elusimicrobia"	"Endomicrobia"	"Endomicrobiales"	"Endomicrobiaceae"	"Endomicrobium"	"NA"	"kai__1408194"
"kai__1940407"	"NA"	"NA"	"NA"	"NA"	"Candidatus Vecturithrix"	"NA"	"kai__1940407"
"kai__0000551"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Erwiniaceae"	"Erwinia"	"NA"	"kai__0000551"
"kai__0002071"	"Actinobacteria"	"Actinobacteria"	"Pseudonocardiales"	"Pseudonocardiaceae"	"Saccharothrix"	"NA"	"kai__0002071"
"kai__0002220"	"Euryarchaeota"	"Methanomicrobia"	"Methanosarcinales"	"Methanosarcinaceae"	"Methanolobus"	"NA"	"kai__0002220"
"kai__0033877"	"Actinobacteria"	"Actinobacteria"	"Micrococcales"	"Microbacteriaceae"	"Agromyces"	"NA"	"kai__0033877"
"kai__0068288"	"Bacteroidetes"	"Cytophagia"	"Cytophagales"	"Cyclobacteriaceae"	"Cyclobacterium"	"NA"	"kai__0068288"
"kai__0071655"	"Proteobacteria"	"Gammaproteobacteria"	"Enterobacterales"	"Pectobacteriaceae"	"Brenneria"	"NA"	"kai__0071655"
"kai__0075309"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Rhodanobacter"	"NA"	"kai__0075309"
"kai__0149698"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Oxalobacteraceae"	"Massilia"	"NA"	"kai__0149698"
"kai__0167639"	"Fusobacteria"	"Fusobacteriia"	"Fusobacteriales"	"Fusobacteriaceae"	"Ilyobacter"	"NA"	"kai__0167639"
"kai__0207599"	"Actinobacteria"	"Thermoleophilia"	"Solirubrobacterales"	"Solirubrobacteraceae"	"Solirubrobacter"	"NA"	"kai__0207599"
"kai__0231454"	"Proteobacteria"	"Gammaproteobacteria"	"Xanthomonadales"	"Rhodanobacteraceae"	"Dyella"	"NA"	"kai__0231454"
"kai__0233191"	"Chloroflexi"	"Caldilineae"	"Caldilineales"	"Caldilineaceae"	"Caldilinea"	"NA"	"kai__0233191"
"kai__0649460"	"Bacteroidetes"	"Chitinophagia"	"Chitinophagales"	"Chitinophagaceae"	"Filimonas"	"NA"	"kai__0649460"
"kai__1182780"	"Proteobacteria"	"Alphaproteobacteria"	"Rhodospirillales"	"Rhodospirillaceae"	"Magnetospira"	"NA"	"kai__1182780"
"kai__1607807"	"Euryarchaeota"	"Thermoplasmata"	"Methanomassiliicoccales"	"Methanomassiliicoccaceae"	"Candidatus Methanoplasma"	"NA"	"kai__1607807"
"kai__1923871"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Massilibacterium"	"NA"	"kai__1923871"
"kai__2019482"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Brevefilum"	"NA"	"kai__2019482"
"kai__0000020"	"Proteobacteria"	"Alphaproteobacteria"	"Caulobacterales"	"Caulobacteraceae"	"Phenylobacterium"	"NA"	"kai__0000020"
"kai__0001091"	"Chlorobi"	"Chlorobia"	"Chlorobiales"	"Chlorobiaceae"	"Chlorobium"	"NA"	"kai__0001091"
"kai__0001234"	"Nitrospirae"	"Nitrospira"	"Nitrospirales"	"Nitrospiraceae"	"Nitrospira"	"NA"	"kai__0001234"
"kai__0001370"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Marinococcus"	"NA"	"kai__0001370"
"kai__0002733"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Symbiobacteriaceae"	"Symbiobacterium"	"NA"	"kai__0002733"
"kai__0033976"	"Firmicutes"	"Bacilli"	"Bacillales"	"Planococcaceae"	"Caryophanon"	"NA"	"kai__0033976"
"kai__0034072"	"Proteobacteria"	"Betaproteobacteria"	"Burkholderiales"	"Comamonadaceae"	"Variovorax"	"NA"	"kai__0034072"
"kai__0161492"	"Proteobacteria"	"Deltaproteobacteria"	"Myxococcales"	"Anaeromyxobacteraceae"	"Anaeromyxobacter"	"NA"	"kai__0161492"
"kai__0363276"	"Chloroflexi"	"Ktedonobacteria"	"Ktedonobacterales"	"Ktedonobacteraceae"	"Ktedonobacter"	"NA"	"kai__0363276"
"kai__0392733"	"Acidobacteria"	"Acidobacteriia"	"Acidobacteriales"	"Acidobacteriaceae"	"Terriglobus"	"NA"	"kai__0392733"
"kai__0456826"	"Candidatus Cloacimonetes"	"NA"	"NA"	"NA"	"Candidatus Cloacimonas"	"NA"	"kai__0456826"
"kai__1255275"	"Thermotogae"	"Thermotogae"	"Thermotogales"	"Thermotogaceae"	"Oceanotoga"	"NA"	"kai__1255275"
"kai__1433300"	"Firmicutes"	"Bacilli"	"Bacillales"	"Bacillaceae"	"Alteribacillus"	"NA"	"kai__1433300"
"kai__1434028"	"Chloroflexi"	"Anaerolineae"	"Anaerolineales"	"Anaerolineaceae"	"Ornatilinea"	"NA"	"kai__1434028"
"kai__2017975"	"Firmicutes"	"Clostridia"	"Halanaerobiales"	"Halobacteroidaceae"	"Candidatus Frackibacter"	"NA"	"kai__2017975"
"kai__2026179"	"Firmicutes"	"Clostridia"	"Clostridiales"	"Peptococcaceae"	"Desulfocucumis"	"NA"	"kai__2026179"
"kai__2170555"	"Firmicutes"	"Bacilli"	"Bacillales"	"NA"	"Candidatus Carbobacillus"	"NA"	"kai__2170555"
"kai__2508983"	"Candidatus Aminicenantes"	"NA"	"NA"	"NA"	"Candidatus Saccharicenans"	"NA"	"kai__2508983"
"kai__0001988"	"Actinobacteria"	"Actinobacteria"	"Streptosporangiales"	"Thermomonosporaceae"	"Actinomadura"	"NA"	"kai__0001988"
